symbol	probe	t	pval	logFC	p_adj
197257	10025902550	6.7002609709595005	8.495034002796694e-11	0.0545405233481091	2.1899647937904715e-10
114625	10025906213	6.701217524566069	8.496168438594337e-11	0.0766109235173394	2.190113507468077e-10
10402	10023825419	-6.667259352659039	8.70672226414886e-11	-0.0724340797253807	2.2435059730764047e-10
1774	10023819130	-6.680801473271496	8.750979543821115e-11	-0.0471624724069056	2.2547620628487594e-10
389773	10025922919	6.640073452697297	8.797804560544547e-11	0.0669700707443332	2.2666782312619038e-10
85445	10023836657	-6.687249390239237	8.807379758620408e-11	-0.1000377771889459	2.2689963725231824e-10
51025	10025913025	-6.6703773886263225	8.837732186646685e-11	-0.04229296595188	2.2765172817331088e-10
56944	10023825145	6.666420859369347	8.877727518187118e-11	0.1264112378324224	2.2865198145327523e-10
55728	10023822014	6.718940357945861	9.103550983867204e-11	0.0519818071426589	2.3439137562028297e-10
8665	10023813698	-6.691392821249649	9.103256231101324e-11	-0.0383885706154736	2.3439137562028297e-10
9311	10023814373	6.684117604830145	9.132009173544026e-11	0.0632026581684569	2.3509327587941363e-10
5617	10023817629	6.712433711722503	9.2260699374997e-11	0.0491866466816169	2.374836350884589e-10
867	10023820194	6.6447041601790415	9.280149199436111e-11	0.0372198203213581	2.3884435890043926e-10
905	10025912096	-6.64899247068289	9.303538602994934e-11	-0.0535138281364865	2.394306468752152e-10
668	10023828583	6.635288628865828	9.387793292310796e-11	0.047830654716507	2.415673242855998e-10
266747	10025910123	6.638253352450155	9.389678498644404e-11	0.0719216920758989	2.41600007485099e-10
92483	10023838412	-6.6626490052626846	9.435072008483203e-11	-0.0453184153687891	2.4275209831218983e-10
84981	10025910087	6.652464921371688	9.460939571593555e-11	0.0376436784460242	2.4340169398231257e-10
23635	10023804836	-6.692933139123632	9.463285785284827e-11	-0.0397405118252023	2.4344611018795473e-10
1840	10025911752	-6.64892748911907	9.475982860932294e-11	-0.0488384439905362	2.4375678243446003e-10
26333	10025912988	6.671738869153429	9.5043891871739e-11	0.1296766660171608	2.4445547883197406e-10
29763	10026395898	6.662315191281318	9.509231730853782e-11	0.0589771599243723	2.4456401649180677e-10
84220	10025905898	-6.6363096543034406	9.544625474389464e-11	-0.0568091508875755	2.4545822222994506e-10
254228	10025906938	6.652378750898524	9.569629782941664e-11	0.0439271834196425	2.4608514427099736e-10
54869	10023815134	6.6635921453043085	9.590085110888303e-11	0.046102714222108	2.4657887226267757e-10
7982	10025930587	6.661856513993259	9.606557710128454e-11	0.0356704697155126	2.4698624614075513e-10
388002	10025934658	6.67224035083703	9.636433601214808e-11	0.0492040800508164	2.477381450721367e-10
23116	10023810274	-6.639540575578396	9.637994912345483e-11	-0.0475056789709163	2.477582536592479e-10
94056	10025910263	-6.658602011438677	9.672491907132709e-11	-0.0684430488386562	2.4861633432284573e-10
