id,label,prob_omics
GSM1424068,1,0.9815083
GSM1423810,1,0.9859175
GSM1424004,1,0.9675404
GSM1423835,1,0.9906607
GSM1424175,0,0.008207978
GSM1423885,1,0.9895537
GSM1423974,1,0.94115037
GSM1423890,1,0.95253295
GSM1424125,0,0.0382934
GSM1424152,0,0.0134809585
GSM1423797,1,0.9539022
GSM1423952,1,0.96543515
GSM1423820,1,0.98952067
