probe	t	pval	logFC	p_adj
10023836800	20.257801844818896	3.3683396672335085e-62	0.17791217450166424	5.959837032834784e-60
10023808677	20.70532303596385	3.6905676472811133e-62	0.5782453238070616	6.500694941040455e-60
10025904012	-19.977575938959248	3.994915829256887e-62	-0.2949170764358743	7.005370257732613e-60
10023829853	-20.336445510439184	4.23598601181424e-62	-0.3779607658166016	7.395090246402816e-60
10023817800	20.01952091659631	4.274118101718467e-62	0.17523571767528043	7.42864420511068e-60
10023847138	21.03124413138396	4.90796277354751e-62	0.24758083477390794	8.492721486561507e-60
10025908407	-20.05672544556335	5.111747751797748e-62	-0.21610062637090607	8.806554898711208e-60
10023850564	-19.661995705294643	5.24282833777201e-62	-0.2777347594107459	8.992938738326836e-60
10025905875	-20.381141671298874	5.814649264429277e-62	-0.16775124292689542	9.930409700294869e-60
10023835334	19.684776874307584	6.457911550730065e-62	0.20133300148669608	1.0981245268947056e-59
10023813657	-19.82343850400607	6.984145764523721e-62	-0.3634392570711732	1.1774130713755012e-59
10023834965	-20.512884463764586	6.978689742324337e-62	-0.16313616719560303	1.1774130713755012e-59
10023823605	-19.491800767924573	7.935286771393959e-62	-0.26337708934059195	1.332043010172456e-59
10023823479	-20.561135654579505	9.167599199707621e-62	-0.5744009604862339	1.5323544534660228e-59
10023837400	-19.395551450545437	1.072327188079293e-61	-0.27450497198775425	1.7847886418540096e-59
10025913039	19.366039409925005	1.0822544476043459e-61	0.13675594361968152	1.7937111688564853e-59
10023811346	-19.851021883119344	1.1790465632472601e-61	-0.2298664995027409	1.9459222270736293e-59
10023820162	20.10303263334039	1.244069639620599e-61	0.2141316331923937	2.0446466713095033e-59
10023829345	-19.46714094945725	1.2863387267696275e-61	-0.4291481904865215	2.1053077161462903e-59
10023819290	-19.530279360033234	1.3491777679436786e-61	-0.23535342840139717	2.1989918143082033e-59
10025921723	-19.90334199153213	1.3681404720695542e-61	-0.1498358694324411	2.2206842042517394e-59
10023847335	-19.72010733462061	1.4494495735491382e-61	-0.2305497920568112	2.3429785699181133e-59
10023811339	-19.779468725198406	1.5116178050953967e-61	-0.16711044389707008	2.413672657892162e-59
10023809354	20.057597247766317	1.5060290366059097e-61	0.24254258765524964	2.413672657892162e-59
10025934316	-19.4599434454843	1.4996609532448263e-61	-0.3735596551783234	2.413672657892162e-59
10023827794	-19.42171311539859	1.7082579446168462e-61	-0.3679540552953431	2.7166142536254947e-59
10025906387	-20.618426809420672	1.7886845907494577e-61	-0.17088872656182663	2.8330455937354314e-59
10025902808	20.63798312169598	1.8626218352656116e-61	0.2898934030244935	2.9383046461539445e-59
10025927234	19.56044421743466	2.046198374984923e-61	0.16105526172195606	3.214986886776311e-59
10025919245	-19.72747311115871	2.0737173274089726e-61	-0.28924808357294024	3.2452436900647187e-59
10025906620	-19.405537239318264	2.0846539728688233e-61	-0.38702925179048697	3.2494130180272766e-59
10025904409	-20.08870103058679	2.097355932169078e-61	-0.19872120998586396	3.256290158719422e-59
10023842768	20.770399355775222	2.1480981800502737e-61	0.19487758491513046	3.3219408075738087e-59
10025931326	-19.295514453239416	2.2670400494694797e-61	-0.34302522158891924	3.4921307114965165e-59
10025918341	19.80771519064616	2.308443006478427e-61	0.22430281530115678	3.5420172380653366e-59
10023823268	-20.28853280651361	2.3229147704395735e-61	-0.1497019956938566	3.5503537814344924e-59
10025926050	-19.402264601536192	2.6835585883828962e-61	-0.34526315569946786	4.085665943863572e-59
